sample,condition,fastq_1,fastq_2,replicate
gG5_EpiLC_0h_rep1,EpiLC_0,gG5_EpiLC_0h_rep1_r1.fq.gz,gG5_EpiLC_0h_rep1_r2.fq.gz,1
gG5_EpiLC_0h_rep2,EpiLC_0,gG5_EpiLC_0h_rep2_r1.fq.gz,gG5_EpiLC_0h_rep2_r2.fq.gz,2
gG5_EpiLC_0h_rep3,EpiLC_0,gG5_EpiLC_0h_rep3_r1.fq.gz,gG5_EpiLC_0h_rep3_r2.fq.gz,3
gG5_EpiLC_0h_rep4,EpiLC_0,gG5_EpiLC_0h_rep4_r1.fq.gz,gG5_EpiLC_0h_rep4_r2.fq.gz,4
gG5_EpiLC_24h_rep1,EpiLC_24,gG5_EpiLC_24h_rep1_r1.fq.gz,gG5_EpiLC_24h_rep1_r2.fq.gz,1
gG5_EpiLC_24h_rep2,EpiLC_24,gG5_EpiLC_24h_rep2_r1.fq.gz,gG5_EpiLC_24h_rep2_r2.fq.gz,2
gG5_EpiLC_24h_rep3,EpiLC_24,gG5_EpiLC_24h_rep3_r1.fq.gz,gG5_EpiLC_24h_rep3_r2.fq.gz,3
gG5_EpiLC_24h_rep4,EpiLC_24,gG5_EpiLC_24h_rep4_r1.fq.gz,gG5_EpiLC_24h_rep4_r2.fq.gz,4
gG5_EpiLC_6h_rep1,EpiLC_6,gG5_EpiLC_6h_rep1_r1.fq.gz,gG5_EpiLC_6h_rep1_r2.fq.gz,1
gG5_EpiLC_6h_rep2,EpiLC_6,gG5_EpiLC_6h_rep2_r1.fq.gz,gG5_EpiLC_6h_rep2_r2.fq.gz,2
gG5_EpiLC_6h_rep3,EpiLC_6,gG5_EpiLC_6h_rep3_r1.fq.gz,gG5_EpiLC_6h_rep3_r2.fq.gz,3
gG5_EpiLC_6h_rep4,EpiLC_6,gG5_EpiLC_6h_rep4_r1.fq.gz,gG5_EpiLC_6h_rep4_r2.fq.gz,4
gG5_mESC_0h_rep1,mESC_0,gG5_mESC_0h_rep1_r1.fq.gz,gG5_mESC_0h_rep1_r2.fq.gz,1
gG5_mESC_0h_rep2,mESC_0,gG5_mESC_0h_rep2_r1.fq.gz,gG5_mESC_0h_rep2_r2.fq.gz,2
gG5_mESC_0h_rep3,mESC_0,gG5_mESC_0h_rep3_r1.fq.gz,gG5_mESC_0h_rep3_r2.fq.gz,3
gG5_mESC_0h_rep4,mESC_0,gG5_mESC_0h_rep4_r1.fq.gz,gG5_mESC_0h_rep4_r2.fq.gz,4
gG5_mESC_24h_rep1,mESC_24,gG5_mESC_24h_rep1_r1.fq.gz,gG5_mESC_24h_rep1_r2.fq.gz,1
gG5_mESC_24h_rep2,mESC_24,gG5_mESC_24h_rep2_r1.fq.gz,gG5_mESC_24h_rep2_r2.fq.gz,2
gG5_mESC_24h_rep3,mESC_24,gG5_mESC_24h_rep3_r1.fq.gz,gG5_mESC_24h_rep3_r2.fq.gz,3
gG5_mESC_24h_rep4,mESC_24,gG5_mESC_24h_rep4_r1.fq.gz,gG5_mESC_24h_rep4_r2.fq.gz,4
gG5_mESC_6h_rep1,mESC_6,gG5_mESC_6h_rep1_r1.fq.gz,gG5_mESC_6h_rep1_r2.fq.gz,1
gG5_mESC_6h_rep2,mESC_6,gG5_mESC_6h_rep2_r1.fq.gz,gG5_mESC_6h_rep2_r2.fq.gz,2
gG5_mESC_6h_rep3,mESC_6,gG5_mESC_6h_rep3_r1.fq.gz,gG5_mESC_6h_rep3_r2.fq.gz,3
gG5_mESC_6h_rep4,mESC_6,gG5_mESC_6h_rep4_r1.fq.gz,gG5_mESC_6h_rep4_r2.fq.gz,4
gG5_NE_0h_rep1,NE_0,gG5_NE_0h_rep1_r1.fq.gz,gG5_NE_0h_rep1_r2.fq.gz,1
gG5_NE_0h_rep2,NE_0,gG5_NE_0h_rep2_r1.fq.gz,gG5_NE_0h_rep2_r2.fq.gz,2
gG5_NE_0h_rep3,NE_0,gG5_NE_0h_rep3_r1.fq.gz,gG5_NE_0h_rep3_r2.fq.gz,3
gG5_NE_0h_rep4,NE_0,gG5_NE_0h_rep4_r1.fq.gz,gG5_NE_0h_rep4_r2.fq.gz,4
gG5_NE_24h_rep1,NE_24,gG5_NE_24h_rep1_r1.fq.gz,gG5_NE_24h_rep1_r2.fq.gz,1
gG5_NE_24h_rep2,NE_24,gG5_NE_24h_rep2_r1.fq.gz,gG5_NE_24h_rep2_r2.fq.gz,2
gG5_NE_24h_rep3,NE_24,gG5_NE_24h_rep3_r1.fq.gz,gG5_NE_24h_rep3_r2.fq.gz,3
gG5_NE_24h_rep4,NE_24,gG5_NE_24h_rep4_r1.fq.gz,gG5_NE_24h_rep4_r2.fq.gz,4
gG5_NE_6h_rep1,NE_6,gG5_NE_6h_rep1_r1.fq.gz,gG5_NE_6h_rep1_r2.fq.gz,1
gG5_NE_6h_rep2,NE_6,gG5_NE_6h_rep2_r1.fq.gz,gG5_NE_6h_rep2_r2.fq.gz,2
gG5_NE_6h_rep3,NE_6,gG5_NE_6h_rep3_r1.fq.gz,gG5_NE_6h_rep3_r2.fq.gz,3
gG5_NE_6h_rep4,NE_6,gG5_NE_6h_rep4_r1.fq.gz,gG5_NE_6h_rep4_r2.fq.gz,4
