SampleID,Experiment,CellType,Condition,TimePoint,Replicate,Group
exp1_C11_mESC_t24_rep1,exp1,C11,mESC,t24,rep1,C11_mESC_t24
exp1_C11_mESC_t24_rep2,exp1,C11,mESC,t24,rep2,C11_mESC_t24
exp1_C11_mESC_t24_rep3,exp1,C11,mESC,t24,rep3,C11_mESC_t24
exp1_C11_EpiLC_t24_rep1,exp1,C11,EpiLC,t24,rep1,C11_EpiLC_t24
exp1_C11_EpiLC_t24_rep2,exp1,C11,EpiLC,t24,rep2,C11_EpiLC_t24
exp1_C11_EpiLC_t24_rep3,exp1,C11,EpiLC,t24,rep3,C11_EpiLC_t24
exp1_C11_NE_t24_rep1,exp1,C11,NE,t24,rep1,C11_NE_t24
exp1_C11_NE_t24_rep2,exp1,C11,NE,t24,rep2,C11_NE_t24
exp1_C11_NE_t24_rep3,exp1,C11,NE,t24,rep3,C11_NE_t24
exp1_gG5_mESC_t24_rep1,exp1,gG5,mESC,t24,rep1,gG5_mESC_t24
exp1_gG5_mESC_t24_rep2,exp1,gG5,mESC,t24,rep2,gG5_mESC_t24
exp1_gG5_mESC_t24_rep3,exp1,gG5,mESC,t24,rep3,gG5_mESC_t24
exp1_gG5_EpiLC_t24_rep1,exp1,gG5,EpiLC,t24,rep1,gG5_EpiLC_t24
exp1_gG5_EpiLC_t24_rep2,exp1,gG5,EpiLC,t24,rep2,gG5_EpiLC_t24
exp1_gG5_EpiLC_t24_rep3,exp1,gG5,EpiLC,t24,rep3,gG5_EpiLC_t24
exp1_gG5_NE_t24_rep1,exp1,gG5,NE,t24,rep1,gG5_NE_t24
exp1_gG5_NE_t24_rep2,exp1,gG5,NE,t24,rep2,gG5_NE_t24
exp1_gG5_NE_t24_rep3,exp1,gG5,NE,t24,rep3,gG5_NE_t24
exp2_gG5_EpiLC_t0_rep1,exp2,gG5,EpiLC,t0,rep1,gG5_EpiLC_t0
exp2_gG5_EpiLC_t0_rep2,exp2,gG5,EpiLC,t0,rep2,gG5_EpiLC_t0
exp2_gG5_EpiLC_t0_rep3,exp2,gG5,EpiLC,t0,rep3,gG5_EpiLC_t0
exp2_gG5_EpiLC_t0_rep4,exp2,gG5,EpiLC,t0,rep4,gG5_EpiLC_t0
exp2_gG5_EpiLC_t24_rep1,exp2,gG5,EpiLC,t24,rep1,gG5_EpiLC_t24
exp2_gG5_EpiLC_t24_rep2,exp2,gG5,EpiLC,t24,rep2,gG5_EpiLC_t24
exp2_gG5_EpiLC_t24_rep3,exp2,gG5,EpiLC,t24,rep3,gG5_EpiLC_t24
exp2_gG5_EpiLC_t6_rep1,exp2,gG5,EpiLC,t6,rep1,gG5_EpiLC_t6
exp2_gG5_EpiLC_t6_rep2,exp2,gG5,EpiLC,t6,rep2,gG5_EpiLC_t6
exp2_gG5_EpiLC_t6_rep3,exp2,gG5,EpiLC,t6,rep3,gG5_EpiLC_t6
exp2_gG5_EpiLC_t6_rep4,exp2,gG5,EpiLC,t6,rep4,gG5_EpiLC_t6
exp2_gG5_mESC_t0_rep1,exp2,gG5,mESC,t0,rep1,gG5_mESC_t0
exp2_gG5_mESC_t0_rep2,exp2,gG5,mESC,t0,rep2,gG5_mESC_t0
exp2_gG5_mESC_t0_rep3,exp2,gG5,mESC,t0,rep3,gG5_mESC_t0
exp2_gG5_mESC_t0_rep4,exp2,gG5,mESC,t0,rep4,gG5_mESC_t0
exp2_gG5_mESC_t24_rep1,exp2,gG5,mESC,t24,rep1,gG5_mESC_t24
exp2_gG5_mESC_t24_rep2,exp2,gG5,mESC,t24,rep2,gG5_mESC_t24
exp2_gG5_mESC_t24_rep3,exp2,gG5,mESC,t24,rep3,gG5_mESC_t24
exp2_gG5_mESC_t24_rep4,exp2,gG5,mESC,t24,rep4,gG5_mESC_t24
exp2_gG5_mESC_t6_rep1,exp2,gG5,mESC,t6,rep1,gG5_mESC_t6
exp2_gG5_mESC_t6_rep2,exp2,gG5,mESC,t6,rep2,gG5_mESC_t6
exp2_gG5_mESC_t6_rep3,exp2,gG5,mESC,t6,rep3,gG5_mESC_t6
exp2_gG5_mESC_t6_rep4,exp2,gG5,mESC,t6,rep4,gG5_mESC_t6
exp2_gG5_NE_t0_rep1,exp2,gG5,NE,t0,rep1,gG5_NE_t0
exp2_gG5_NE_t0_rep2,exp2,gG5,NE,t0,rep2,gG5_NE_t0
exp2_gG5_NE_t0_rep3,exp2,gG5,NE,t0,rep3,gG5_NE_t0
exp2_gG5_NE_t0_rep4,exp2,gG5,NE,t0,rep4,gG5_NE_t0
exp2_gG5_NE_t24_rep1,exp2,gG5,NE,t24,rep1,gG5_NE_t24
exp2_gG5_NE_t24_rep2,exp2,gG5,NE,t24,rep2,gG5_NE_t24
exp2_gG5_NE_t24_rep3,exp2,gG5,NE,t24,rep3,gG5_NE_t24
exp2_gG5_NE_t24_rep4,exp2,gG5,NE,t24,rep4,gG5_NE_t24
exp2_gG5_NE_t6_rep1,exp2,gG5,NE,t6,rep1,gG5_NE_t6
exp2_gG5_NE_t6_rep2,exp2,gG5,NE,t6,rep2,gG5_NE_t6
exp2_gG5_NE_t6_rep3,exp2,gG5,NE,t6,rep3,gG5_NE_t6
exp2_gG5_NE_t6_rep4,exp2,gG5,NE,t6,rep4,gG5_NE_t6
